gene_ID	protein	rna	protein_degradation	rna_hl	translation
rna1298	279	5092.9426304513	20.9137	0.0262084972	1.1456878122
rna1313	297	76626.8049040034	46.9267	0.0582480576	0.1818845235
rna1321	304	55481.5599764954	17.4543	0.018720467	0.0956373109
rna1331	317	14236.1539188551	3.03076	0.0253429595	0.067486691
rna1338	330	43391.5591593464	85.1128	0.0143788853	0.6472969523
rna1344	340	1949.9029422005	119422	0.0525138037	20823.3338804944
rna1347	346	6317.3679192013	59.6375	0.037707537	3.26632472
rna1351	349	49418.2274286758	26.6181	0.0154135955	0.1879815886
rna1370	387	138847.534625465	10749	0.0131054036	29.9599341913
rna1371	390	218005.126759977	50.4534	0.0168018748	0.0902585471
rna1394	419	14749.9179355533	44.0408	0.0412286533	1.2510642622
rna1398	425	14393.3955562721	40.4311	0.0909532977	1.193826532
rna1408	437	62.2362789888	7.48049	0.0229708417	52.5252181383
rna1415	444	10744.9635757859	31.6119	0.0215508227	1.3062569734
rna1416	446	20679.7632792204	11.6426	0.0268204041	0.2510956982
rna1421	451	4993.1958628451	1.71997	0.0274395312	0.1553527022
rna1432	460	17312.071957002	4.05558	0.025608904	0.1077610355
rna1447	482	4013.8489690646	7.99442	0.0258847168	0.9600038441
rna1448	486	34327.6137174988	13.2108	0.0243683885	0.1870345213
rna1460	512	55375.4356581896	23.1152	0.0146972908	0.2137226057
rna1471	526	6190.9977468594	9.05662	0.017287529	0.7694692059
rna1477	536	94362.5648978757	32.6255	0.0192228859	0.1853199732
rna1478	537	4973.9411422041	28.9757	0.0524788506	3.1282941344
rna1500	564	46971.8278910961	84.6543	0.2655176394	1.0164608733
rna1504	572	560.597896837	11.6303	0.0473070137	11.866850799
rna1508	578	236215.085308356	46.0984	0.0158743452	0.1127992108
rna1524	587	981.4173816858	12.1531	0.0731809148	7.2689457443
rna1544	613	829325.40797919	46.6999	0.0113542008	0.0345184633
rna1554	621	23595.7481625406	19.1379	0.0155664208	0.5036770107
rna1559	627	9247.7653676714	0.748983	0.0367431534	0.0507811695
rna1569	651	4445399.09206487	715817	0.0106237204	104.8267787322
rna1575	658	1215.3681795388	15757	0.0514163767	8530.8354904724
rna1584	667	42291.2864086231	14.2652	0.0342473401	0.2249846058
rna1592	676	3288.8763575062	29.3911	0.1068327972	6.0410855989
rna1595	677	17408.1679625571	15.4387	0.071518294	0.6004078041
rna1598	683	285160.897534146	53.5177	0.0172497957	0.1281823329
rna1603	688	2864181.05621985	595985	0.015897695	143.1605306898
rna1604	691	14092.7685008385	9.26277	0.0283493072	0.4541743568
rna1608	698	71613.4945316196	171168	0.0553414936	1668.334505688
rna1614	706	3035.8034493881	5.23369	0.0296635202	1.2171358263
rna1622	727	39389.3695596119	19.7479	0.0198073828	0.3644821804
rna1630	738	23314.9111657428	48.4944	0.0681706274	1.5350205259
rna1653	776	1045027.00113187	197972	0.0129981044	147.006988177
rna1655	781	461.9292724686	14.9229	0.0305258134	25.2306697034
rna1661	789	133986.905710762	83.6319	0.0165344196	0.4924777444
rna1672	811	78666.9936643583	22.7238	0.011072805	0.2342659982
rna1673	812	478504.185710813	103764	0.0240689925	176.0828233401
rna1674	814	9024.8692435356	6.10022	0.0122101232	0.5502106397
rna1692	838	1148.0274876292	15.8514	0.0195881407	11.5706926386
rna1694	844	551735.897141731	97.5276	0.0109782741	0.1491896663
rna1764	889	76914.4405236305	17.1575	0.016450198	0.1983114926
rna1782	903	4168.7134364436	12.5622	0.0486838851	2.7211432911
rna1804	925	4581.5321465548	35.8407	0.0575714589	7.2361486157
rna1822	953	195745.890870203	23.2285	0.0146010683	0.113089273
rna1835	973	450292.036556503	154072	0.0240239503	332.9218458901
rna1847	981	8354.5265707751	2.35035	0.0222242858	0.2759813295
rna1860	1005	4077.3033177398	117722	0.0401241977	29016.8772789719
rna1861	1006	337179.391797541	40.2452	0.0483216842	0.1200745721
rna1870	1015	324179.132168032	132671	0.0222044782	415.3909108813
rna1871	1017	290775.512661423	74.1481	0.0294087055	0.2593362041
rna1888	1032	212098.565740472	86.5293	0.0164280581	0.4210223548
rna1901	1047	1164430.73134158	107426	0.0123963354	96.5922823682
rna1905	1054	179873.199000625	16.5437	0.010573828	0.0969408444
rna1907	1061	51007.2381217351	38.3628	0.087281087	0.7979834294
rna1914	1068	102412.913800167	107426	0.0211550545	1120.2783295852
rna1918	1080	44960.9910158631	125178	0.082782251	3006.8785617359
rna1936	1111	715052.197469124	214434	0.0238634851	333.1731233653
rna1937	1113	94377.5390969114	14.9346	0.0202324952	0.1761246368
rna1942	1122	6767.2205283969	11.1595	0.0111915563	1.8502365849
rna1963	1151	50422.2018571149	5.23621	0.0254298386	0.1195282532
rna1965	1154	8226801.55367546	486268	0.0122970831	68.2103814391
rna1968	1155	14372.7170670834	5.45617	0.0413124986	0.4384610315
rna1974	1165	12333.7321423408	43.9225	0.0329206269	4.1487614543
rna2004	1199	94243.1763941596	31.4217	0.0149994436	0.3997596403
rna2015	1213	2052.2134704632	10.0616	0.0243059239	5.9471010086
rna2018	1216	3866.5540528917	60.7788	0.0429861582	19.1144413835
rna2026	1225	6807.9573697671	17.4408	0.0243706417	3.1382364547
rna2038	1236	55731.3465693929	36.6303	0.0192610148	0.8123803494
rna2051	1249	4063.9142038907	14.3659	0.028876776	4.4152037173
rna2057	1253	38314.9299518886	31.8315	0.0251502103	1.0409746162
rna2058	1256	21753.0965133831	29.7076	0.0274127656	1.715284331
rna2063	1261	11477.3153162648	31.4063	0.023459167	3.4505756101
rna2073	1275	16335.5225250289	16.5406	0.0214192953	1.2910064534
rna2096	1303	24992.2080557439	17.1024	0.0260187987	0.891654997
rna2105	1316	16216.9397546197	8.3473	0.0331276301	0.6773809958
rna2106	1318	56194.4293965636	9.33205	0.0237629804	0.2188765334
rna2107	1322	95807.5166630613	30.1488	0.0246658305	0.4160082109
rna2110	1325	5973.4358307107	9.01455	0.0329872237	1.9995659263
rna2111	1326	24335.8778742592	118765	0.0782785768	6471.2023463339
rna2128	1338	40464.5962524183	6.62546	0.0238094593	0.2190770773
rna2133	1339	3457.054509969	24.8859	0.0590723825	9.6389050285
rna2138	1346	1023674.64755766	62.6122	0.0154050619	0.0823269595
rna2139	1347	6005.7929037746	16.6814	0.0818168795	3.7413620749
rna2141	1352	1381.6115859089	10.0139	0.0339987759	9.7992756706
rna2147	1361	5731.4628742185	2.62879	0.0382898504	0.6242356042
rna2151	1369	30537.1739966694	38.4119	0.0172311151	1.7220287347
rna2157	1381	3123.66326278	9.15234	0.0207699362	4.0463329356
rna2163	1386	7185.0336200231	15.9742	0.0454746394	3.0814387755
rna2177	1398	363941.681081593	25.8838	0.0130621153	0.0994267881
rna2179	1401	90156.4079227122	82529	0.0144699909	1282.4726679342
rna2182	1406	15801.0769501745	38.3575	0.0704583936	3.4130993204
rna2202	1424	27557.0982513118	18.4293	0.0270264219	0.9523253487
rna2205	1434	2438.856616936	28.6998	0.0377218682	16.8749211882
rna2207	1440	4167.570575372	7.87521	0.0229882059	2.7210822696
rna2211	1448	483555.602029718	44.2145	0.0092397114	0.1323996573
rna2216	1456	14163.1074428393	13.2995	0.0340395398	1.3672191698
rna2218	1461	307404.069681714	95.0863	0.0244950902	0.4519168677
rna2244	1500	12163.246347358	8.21525	0.030910685	1.0131238526
rna2247	1507	8832.8954797747	70.9042	0.0200754311	12.0971237172
rna2253	1517	1915.6821969076	5.87959	0.0422302022	4.6559591379
rna2259	1527	6142.9129589338	4.0518	0.0204199524	1.007192946
rna2271	1544	968568.290177015	149386	0.0136480987	238.1370382855
rna2272	1546	8079.2464405554	39.8776	0.0329704136	7.6307574046
rna2276	1551	15404.2413963032	15103	0.0444461245	1520.6690415551
rna2278	1554	148082.592025506	55.9286	0.0185486425	0.5869227653
rna2280	1558	3347.7586331015	21.2932	0.1246338402	9.9095571801
rna2283	1565	5567.0450863776	10.2509	0.0303554578	2.8817188025
rna2292	1575	11724.2905151676	11.5043	0.0209203886	1.545447247
rna2293	1576	190943.026411736	35.5491	0.0148195681	0.293414128
rna2306	1602	9355.7530938672	14.4235	0.0203853555	2.4697581016
rna2309	1609	14606.2889491411	33.6143	0.0183865006	3.7028850304
rna2311	1612	80897.1572020616	95.2457	0.0265778772	1.8979167342
rna2333	1635	1215.5218999948	3.12215	0.032784246	4.1996077981
rna2342	1654	33595.6568829287	9.52069	0.0188380788	0.4687278869
rna2371	1698	194126.47178497	55.0693	0.0178467771	0.4816842883
rna2373	1701	245164.486851948	68.2384	0.0242949136	0.4734515993
rna2375	1704	275954.029557059	30.5633	0.0135609315	0.1887265907
rna2409	1750	7528.8573572003	6.08134	0.0168311563	1.4135405275
rna2412	1752	1341.9243765816	10.5551	0.0222197615	13.7806090438
rna2414	1758	1039643.86111977	110062	0.0194167202	186.1108435648
rna2420	1767	4119.7965178384	36263	0.0480133223	15553.3703479173
rna2426	1775	29098.9180397806	30.2485	0.0255670784	1.8451231564
rna2427	1778	105896.453145218	22.9595	0.0127548336	0.385489691
rna2430	1784	2496.5921676888	15.3404	0.0529376336	10.9618519012
rna2441	1797	111585.510560884	35767	0.016889993	576.0004025337
rna2449	1806	20285.0896546477	14.2841	0.0339131836	1.2717264276
rna2451	1815	5975.4124180656	2.15736	0.0213206184	0.6552867193
rna2471	1844	202789.420771059	51.9948	0.0159476205	0.4727978947
rna2492	1875	41555.1250203224	22.3985	0.0204009132	1.0106379774
rna2494	1882	262.3700799031	1.14109	0.0157445292	8.185123017
rna2498	1889	39063.1795474491	22.55	0.0428665345	1.0904629499
rna2502	1892	38753.5740387997	18.2492	0.0293775517	0.8909497319
rna2508	1904	7982.495965242	19.3458	0.0155342747	4.6143967201
rna2509	1908	58469.1631190674	27.8374	0.0237440155	0.9084063525
rna2510	1910	219214.555758901	70.2431	0.0296970091	0.6120228674
rna2511	1911	18135.6001839935	18.8071	0.0178192704	1.9817578539
rna2512	1912	3669.0546782017	33.4085	0.0389553822	17.4096756801
rna2526	1931	3378.3642835173	6.33402	0.0267724136	3.6203889201
rna2532	1934	264554.428071304	21756	0.023077361	159.0451700497
rna2536	1942	1437670.37673703	288254	0.0169849978	389.3724716444
rna2550	1962	19175.9621142979	27.7062	0.0190252359	2.8347763766
rna2552	1963	17770.0636877924	5.54806	0.0099171229	0.6128757877
rna2556	1970	56615.4452752831	58.6114	0.0311570084	2.0394515567
rna2557	1973	137682.892046678	43.9073	0.024110638	0.6291929347
rna2569	1995	436753.745809707	73.5792	0.0198734548	0.3360944363
rna2570	1998	71526.938149707	57.5784	0.0229776105	1.6083680663
rna2575	2002	10036.2695595449	12.4135	0.0201276777	2.4762016258
rna2579	2012	44147.0162449149	30.9847	0.0432493971	1.4121275163
rna2586	2023	10491.3592440722	5.34993	0.017471982	1.0316021154
rna2587	2025	8222.0258149255	11.3135	0.0552996555	2.7863981476
rna2590	2029	302761.621892919	66.5122	0.0155359304	0.4457409528
rna2607	2040	4017.1361354679	23.8552	0.0212777351	12.1142541251
rna2610	2050	11080.4624426038	38.3033	0.0477837891	7.0865061279
rna2627	2073	441447.820353545	59784	0.0217502564	280.7403871668
rna2629	2077	11405.2129809005	37.1018	0.0237178698	6.756597946
rna2651	2111	128718.95211059	15.0215	0.0097956995	0.2463536719
rna2662	2123	10940.262539953	28.1675	0.0527335802	5.4660116502
rna2668	2131	123105.658195609	68.4102	0.0247526458	1.1842033773
rna2673	2136	141587.022499274	184.52	0.0301828375	2.7836924108
rna2676	2142	92603.6188170284	78.7551	0.0284433999	1.8216720508
rna2681	2149	32233.3627754148	212758	0.0548613097	14184.5871057776
rna2684	2151	38653.9786769607	12.5091	0.0293172784	0.696101023
rna2685	2154	2584.6181892259	7.10066	0.040008744	5.9176329037
rna2686	2156	13180.2953549099	36.2855	0.020775166	5.9354920276
rna2708	2187	22274.0164186286	8.46004	0.0171135201	0.8306587879
rna2716	2195	610694.452954213	184279	0.0187397202	662.3482545867
rna2721	2201	5403.2302056122	7.00723	0.0219439403	2.8543875873
rna2733	2225	43942.6733111587	26.7038	0.0358552149	1.3521242683
rna2736	2233	320439.694944689	131882	0.0152832056	919.0262961985
rna2749	2259	9126.8191645896	129.09	0.1008137488	31.951362763
rna2752	2264	25900.4363264653	16.4594	0.016371243	1.4387433914
rna2772	2284	20823.2620157134	11.8683	0.0308902921	1.3017747738
rna2776	2287	234782.599845958	59.4317	0.0123230103	0.5789198092
rna2784	2292	15838.8962470634	16.6327	0.0079146354	2.4068690018
rna2791	2294	24480.8587577183	262295	0.2511467388	24578.5793690875
rna2803	2303	2007080.29131461	230046	0.0096427985	263.9634997626
rna2815	2314	18108.6947117931	8.14288	0.0272115807	1.0405291281
rna2823	2331	137407.054594248	561165	0.1563448409	9519.7122073728
rna2836	2344	63827.5680720625	316095	0.0574378839	11608.254902701
rna2845	2356	1101402.29214758	489623	0.0097398219	1047.3482724925
rna2854	2362	5674.0127953521	22.7122	0.0155867028	9.4547224927
rna2862	2379	10418.461964458	16.0185	0.0797794868	3.6577386979
rna2867	2385	3339.6752262973	13207	0.0228406472	9431.664118706
rna2878	2394	1863.2071728246	25.7586	0.2152572487	33.0967427023
rna2881	2398	458836.8582952	166.62	0.0258229659	0.8707991801
rna2882	2399	476677.186263805	146396	0.0105327695	736.7753568253
rna2885	2403	31417.8515579573	9.91107	0.0110781336	0.758049963
rna2917	2435	111081.276912944	33.5969	0.0275165911	0.7364738125
rna2919	2436	10115.9861722709	3.34915	0.0256108858	0.8064986706
rna2921	2440	877.9886969762	14.0773	0.0366758715	39.1219296083
rna2939	2467	659384.056526216	111394	0.0163908754	416.7662158041
rna2950	2481	2636332.48223627	234543	0.0115762581	220.7237466901
rna2951	2482	53517.6494343016	25.9831	0.0056156364	1.2050240413
rna2959	2490	2429.5230277639	10.3781	0.055441208	10.6364371544
rna2975	2510	291289.96749979	670.68	0.0425947533	5.7791444534
rna2976	2512	29131.0761493014	37.2662	0.0495090863	3.2134993544
rna2996	2529	186386.941665435	64.9142	0.0194048681	0.8807913813
rna2997	2531	6242.1579968196	50.5864	0.0304696836	20.5112043728
rna3002	2536	64871.5240691117	25.2826	0.0334483073	0.9883639165
rna3007	2544	8239.0990295036	1.16823	0.0226152012	0.3607162761
rna3024	2556	160559.28679479	244563	0.0195636659	3893.2847827042
rna3029	2563	29163.8331671769	18.9243	0.0279508363	1.6631209149
rna3038	2574	13301.3879926928	29.5117	0.0376281514	5.7109164729
rna3039	2575	289810.229398136	16.4922	0.014322689	0.146535252
rna3047	2587	51388.1452738327	191463	0.0662208338	9638.6973758366
rna3050	2590	32601.0002529385	14.7509	0.0156363536	1.1718913746
rna3051	2593	13669.3891262173	129582	0.0400542495	24580.9174716926
rna3056	2604	68024.9691668026	41.7416	0.020910191	1.5978710131
rna3067	2616	7276.6796852569	5.23582	0.0152564628	1.8823015046
rna3068	2617	70090.3016969311	37.7961	0.0143746243	1.4112136958
rna3074	2621	1407.1636732175	23.7612	0.0345158483	44.2578972051
rna3081	2630	4207.2033258769	9.36517	0.0153005393	5.8543396152
rna3083	2636	201448.74123349	101275	0.0278144757	1325.2051036178
rna3085	2638	7783.4410685405	14941	0.0147089016	5063.8731189611
rna3090	2646	133115.96347474	33.1339	0.0142968065	0.65861597
rna3094	2649	23301.6990877019	23.2146	0.0220495802	2.6390983408
rna3098	2651	13822.3253522112	7.76541	0.0185145518	1.4893370967
rna3128	2680	56704.5932881068	27.9533	0.0272740696	1.321142427
rna3134	2688	1099011.57174929	111734	0.0129776778	273.2828295174
rna3136	2691	4052.3503519269	15.0275	0.0466538214	9.9791476521
rna3147	2706	21507.8609474305	53.9549	0.0117635793	6.7883068315
rna3149	2709	121750.999465086	51.5799	0.0262618429	1.147669832
rna3157	2718	79947.293984086	154149	0.0326148837	5240.6649571329
rna3163	2722	290298.879495316	211209	0.0157069718	1980.4103240064
rna3171	2728	22459.0800457137	8.05859	0.0144615127	0.9788394482
rna3185	2743	3946.6733086498	10.2365	0.0196462167	7.1145284406
rna3187	2746	48275.3364806363	51.6596	0.0181566611	2.9385038395
rna3190	2749	243108.737521998	42.4242	0.0338670992	0.4797200092
rna3211	2776	247661.351122279	56.2576	0.0187154252	0.6305832416
rna3217	2785	83222.4683442146	40.7707	0.0242501026	1.3643719269
rna3220	2790	215694.95198525	378203	0.0121608296	4892.030899602
rna3221	2792	96401.301443692	34.4063	0.0154337945	0.9964843644
rna3247	2828	35897.199749426	19.5545	0.0345741321	1.5405136441
rna3251	2836	128691.104453209	35.0391	0.0244579069	0.7721659397
rna3261	2844	101435.313631266	44.7989	0.0178010184	1.2560524243
rna3269	2849	5822281.96306567	144904	0.009964593	70.9054454282
rna3284	2867	109160.82485091	61.6129	0.0293947978	1.6182012598
rna3292	2874	125545.791779804	21.6786	0.0151181956	0.4962675014
rna3294	2876	12034.3157965469	63.7733	0.0458968306	15.2407510241
rna3297	2880	168976.509748345	67.8159	0.0192835793	1.1558398992
rna3305	2893	81965.4698296276	284925	0.1538113566	10056.5277880229
rna3335	2914	684.1729978731	0.103313	0.0461398019	0.440026255
rna3337	2918	9122.0946297052	16143	0.0196659778	5163.8659663326
rna3351	2931	77977.2213706738	129998	0.021945156	4886.3518256025
rna3355	2935	3183.1569858156	6.90254	0.0304712822	6.3644221728
rna3356	2936	16705.0034926091	32.5008	0.0623183395	5.7122016671
rna3357	2939	8279.6336733717	27299	0.0099112489	9690.2549273448
rna3360	2942	5900.8114800563	27.0401	0.0613177783	13.4815312214
rna3362	2944	730.1809592632	5.53506	0.041771837	22.3166825063
rna3363	2945	23361.1216878455	24.1813	0.0272364461	3.0483950836
rna3364	2946	162565.077495236	52916	0.0218027592	958.9423411345
rna3367	2948	78285.9357629012	38.1699	0.0207298301	1.4373573504
rna3371	2953	398995.73615821	203065	0.0398262094	1502.9006344124
rna3397	2977	34752.8113207762	2.79087	0.0153867199	0.2390718815
rna3409	2989	5209.1372481187	17.5326	0.0568057826	10.0601959411
rna3430	3007	12745.1763229195	17.57	0.0093097735	4.1453322152
rna3437	3011	6859.3527470305	8.03842	0.0417805459	3.5285665445
rna3444	3016	1214.4371294148	6.19391	0.0458042045	15.3822969568
rna3445	3017	991344.011534373	111913	0.0158250147	340.5896611787
rna3447	3021	1244479.36639935	115506	0.0151825228	280.3932595601
rna3448	3022	880574.491044167	119885	0.0160706809	411.4273961881
