gene_name	cds	rna	gene_ID
Aamdc	23470	26332	ENSMUST00000136757
Aamdc	23470	26332	ENSMUST00000144858
Aamdc	23470	26332	ENSMUST00000154779
Aamdc	23470	26332	ENSMUST00000151840
Aamdc	23470	26332	ENSMUST00000154853
Aamdc	23468	26331	ENSMUST00000140805
Aamdc	23468	26331	ENSMUST00000135998
Aamdc	23468	26331	ENSMUST00000138060
Aamdc	23468	26331	ENSMUST00000042627
Aamdc	23468	26331	ENSMUST00000072725
Aamdc	23468	26331	ENSMUST00000178078
Aamdc	23468	26331	ENSMUST00000126085
Aamdc	23468	26331	ENSMUST00000124552
Aamdc	23468	26331	ENSMUST00000146605
Aamdc	23468	26331	ENSMUST00000136757
Aamdc	23468	26331	ENSMUST00000144858
Aamdc	23468	26331	ENSMUST00000154779
Aamdc	23468	26331	ENSMUST00000151840
Aamdc	23468	26331	ENSMUST00000154853
Aamdc	23469	26333	ENSMUST00000140805
Aamdc	23469	26333	ENSMUST00000135998
Aamdc	23469	26333	ENSMUST00000138060
Aamdc	23469	26333	ENSMUST00000042627
Aamdc	23469	26333	ENSMUST00000072725
Aamdc	23469	26333	ENSMUST00000178078
Aamdc	23469	26333	ENSMUST00000126085
Aamdc	23469	26333	ENSMUST00000124552
Aamdc	23469	26333	ENSMUST00000146605
Aamdc	23469	26333	ENSMUST00000136757
Aamdc	23469	26333	ENSMUST00000144858
Aamdc	23469	26333	ENSMUST00000154779
Aamdc	23469	26333	ENSMUST00000151840
Aamdc	23469	26333	ENSMUST00000154853
Aamdc	23467	26334	ENSMUST00000140805
Aamdc	23467	26334	ENSMUST00000135998
Aamdc	23467	26334	ENSMUST00000138060
Aamdc	23467	26334	ENSMUST00000042627
Aamdc	23467	26334	ENSMUST00000072725
Aamdc	23467	26334	ENSMUST00000178078
Aamdc	23467	26334	ENSMUST00000126085
Aamdc	23467	26334	ENSMUST00000124552
Aamdc	23467	26334	ENSMUST00000146605
Aamdc	23467	26334	ENSMUST00000136757
Aamdc	23467	26334	ENSMUST00000144858
Aamdc	23467	26334	ENSMUST00000154779
Aamdc	23467	26334	ENSMUST00000151840
Aamdc	23467	26334	ENSMUST00000154853
Aanat	17945	20237	ENSMUST00000153476
Aanat	17945	20237	ENSMUST00000123507
Aanat	17945	20237	ENSMUST00000132601
Aanat	17945	20237	ENSMUST00000021160
Aanat	17945	20237	ENSMUST00000142978
Aar2	3160	3531	ENSMUST00000109570
Aar2	3160	3531	ENSMUST00000150212
Aar2	3160	3531	ENSMUST00000126250
Aar2	3160	3531	ENSMUST00000029158
Aar2	3160	3531	ENSMUST00000137928
Aar2	3159	3529	ENSMUST00000109570
Aar2	3159	3529	ENSMUST00000150212
Aar2	3159	3529	ENSMUST00000126250
Aar2	3159	3529	ENSMUST00000029158
Aar2	3159	3529	ENSMUST00000137928
Aar2	3161	3530	ENSMUST00000109570
Aar2	3161	3530	ENSMUST00000150212
Aar2	3161	3530	ENSMUST00000126250
Aar2	3161	3530	ENSMUST00000029158
Aar2	3161	3530	ENSMUST00000137928
Aasdhppt	15921	17950	ENSMUST00000051589
Aass	14879	16757	ENSMUST00000149864
Aass	14879	16757	ENSMUST00000138063
Aass	14879	16757	ENSMUST00000152280
Aass	14879	16757	ENSMUST00000031707
Aass	14878	16756	ENSMUST00000149864
Aass	14878	16756	ENSMUST00000138063
Aass	14878	16756	ENSMUST00000152280
Aass	14878	16756	ENSMUST00000031707
Aatf	8729	9844	ENSMUST00000127042
Aatf	8729	9844	ENSMUST00000018841
Aatf	8729	9844	ENSMUST00000148434
Aatf	8729	9844	ENSMUST00000141093
Aatk	2864	3191	ENSMUST00000136386
Aatk	2864	3191	ENSMUST00000142959
Aatk	2864	3191	ENSMUST00000103020
Aatk	2864	3191	ENSMUST00000128836
Aatk	2864	3191	ENSMUST00000064307
Aatk	2864	3191	ENSMUST00000150730
Aatk	2864	3191	ENSMUST00000103019
Aatk	2864	3191	ENSMUST00000132575
Aatk	2864	3191	ENSMUST00000134319
Aatk	2866	3193	ENSMUST00000136386
Aatk	2866	3193	ENSMUST00000142959
Aatk	2866	3193	ENSMUST00000103020
Aatk	2866	3193	ENSMUST00000128836
Aatk	2866	3193	ENSMUST00000064307
Aatk	2866	3193	ENSMUST00000150730
Aatk	2866	3193	ENSMUST00000103019
Aatk	2866	3193	ENSMUST00000132575
Aatk	2866	3193	ENSMUST00000134319
Aatk	2865	3192	ENSMUST00000136386
Aatk	2865	3192	ENSMUST00000142959
Aatk	2865	3192	ENSMUST00000103020
Aatk	2865	3192	ENSMUST00000128836
Aatk	2865	3192	ENSMUST00000064307
Aatk	2865	3192	ENSMUST00000150730
Aatk	2865	3192	ENSMUST00000103019
Aatk	2865	3192	ENSMUST00000132575
Aatk	2865	3192	ENSMUST00000134319
Abat	2122	2377	ENSMUST00000140795
Abat	2122	2377	ENSMUST00000144444
Abat	2122	2377	ENSMUST00000065987
Abat	2122	2377	ENSMUST00000128459
Abat	2122	2377	ENSMUST00000115839
Abat	2122	2377	ENSMUST00000115838
Abat	2122	2377	ENSMUST00000138987
Abat	2123	2378	ENSMUST00000140795
Abat	2123	2378	ENSMUST00000144444
Abat	2123	2378	ENSMUST00000065987
Abat	2123	2378	ENSMUST00000128459
Abat	2123	2378	ENSMUST00000115839
Abat	2123	2378	ENSMUST00000115838
Abat	2123	2378	ENSMUST00000138987
Abca1	1368	1524	ENSMUST00000030010
Abca1	1368	1524	ENSMUST00000149127
Abca3	22103	24844	ENSMUST00000117337
Abca3	22103	24844	ENSMUST00000039013
Abca3	22103	24844	ENSMUST00000148557
Abca3	22103	24844	ENSMUST00000155889
Abca3	22103	24844	ENSMUST00000079594
Abca3	22103	24844	ENSMUST00000136295
Abca3	22103	24844	ENSMUST00000149233
Abca3	22103	24844	ENSMUST00000133816
Abca3	22104	24843	ENSMUST00000117337
Abca3	22104	24843	ENSMUST00000039013
Abca3	22104	24843	ENSMUST00000148557
Abca3	22104	24843	ENSMUST00000155889
Abca3	22104	24843	ENSMUST00000079594
Abca3	22104	24843	ENSMUST00000136295
Abca3	22104	24843	ENSMUST00000149233
Abca3	22104	24843	ENSMUST00000133816
Abca5	8062	9115	ENSMUST00000124714
Abca5	8062	9115	ENSMUST00000127318
Abca5	8062	9115	ENSMUST00000043961
Abca5	8062	9115	ENSMUST00000134721
Abca5	8062	9115	ENSMUST00000148984
Abca5	8063	9116	ENSMUST00000124714
Abca5	8063	9116	ENSMUST00000127318
Abca5	8063	9116	ENSMUST00000043961
Abca5	8063	9116	ENSMUST00000134721
Abca5	8063	9116	ENSMUST00000148984
Abca6	8064	9117	ENSMUST00000044003
Abca6	8064	9117	ENSMUST00000150988
Abca7	11431	12902	ENSMUST00000171637
Abca7	11431	12902	ENSMUST00000132517
Abca7	11431	12902	ENSMUST00000043866
Abca7	11429	12900	ENSMUST00000171637
Abca7	11429	12900	ENSMUST00000132517
Abca7	11429	12900	ENSMUST00000043866
Abca7	11434	12899	ENSMUST00000171637
Abca7	11434	12899	ENSMUST00000132517
Abca7	11434	12899	ENSMUST00000043866
Abca7	11432	12903	ENSMUST00000171637
Abca7	11432	12903	ENSMUST00000132517
Abca7	11432	12903	ENSMUST00000043866
Abca7	11433	12904	ENSMUST00000171637
Abca7	11433	12904	ENSMUST00000132517
Abca7	11433	12904	ENSMUST00000043866
Abca7	11430	12901	ENSMUST00000171637
Abca7	11430	12901	ENSMUST00000132517
Abca7	11430	12901	ENSMUST00000043866
Abca9	8065	9120	ENSMUST00000126499
Abca9	8065	9120	ENSMUST00000044850
Abca9	8066	9119	ENSMUST00000126499
Abca9	8066	9119	ENSMUST00000044850
Abca9	8067	9118	ENSMUST00000126499
Abca9	8067	9118	ENSMUST00000044850
Abcb11	1470	1635	ENSMUST00000102710
Abcb11	1470	1635	ENSMUST00000102709
Abcb11	1470	1635	ENSMUST00000133663
Abcb11	1470	1635	ENSMUST00000180142
Abcb11	1471	1636	ENSMUST00000102710
Abcb11	1471	1636	ENSMUST00000102709
Abcb11	1471	1636	ENSMUST00000133663
Abcb11	1471	1636	ENSMUST00000180142
Abcb1a	17079	19232	ENSMUST00000047753
Abcb1a	17079	19232	ENSMUST00000138138
Abcb1a	17079	19232	ENSMUST00000126846
Abcb1a	17079	19232	ENSMUST00000145232
Abcb1a	17078	19231	ENSMUST00000047753
Abcb1a	17078	19231	ENSMUST00000138138
Abcb1a	17078	19231	ENSMUST00000126846
Abcb1a	17078	19231	ENSMUST00000145232
Abcb1b	17084	19239	ENSMUST00000199994
Abcb1b	17084	19239	ENSMUST00000199546
Abcb1b	17084	19239	ENSMUST00000197961
Abcb1b	17084	19239	ENSMUST00000196819
Abcb1b	17084	19239	ENSMUST00000199955
Abcb1b	17084	19239	ENSMUST00000196580
Abcb1b	17084	19239	ENSMUST00000198650
Abcb1b	17084	19239	ENSMUST00000009058
Abcb1b	17084	19239	ENSMUST00000196048
Abcb1b	17081	19235	ENSMUST00000199994
Abcb1b	17081	19235	ENSMUST00000199546
Abcb1b	17081	19235	ENSMUST00000197961
Abcb1b	17081	19235	ENSMUST00000196819
Abcb1b	17081	19235	ENSMUST00000199955
Abcb1b	17081	19235	ENSMUST00000196580
Abcb1b	17081	19235	ENSMUST00000198650
Abcb1b	17081	19235	ENSMUST00000009058
Abcb1b	17081	19235	ENSMUST00000196048
Abcb1b	17082	19236	ENSMUST00000199994
Abcb1b	17082	19236	ENSMUST00000199546
Abcb1b	17082	19236	ENSMUST00000197961
Abcb1b	17082	19236	ENSMUST00000196819
Abcb1b	17082	19236	ENSMUST00000199955
Abcb1b	17082	19236	ENSMUST00000196580
Abcb1b	17082	19236	ENSMUST00000198650
Abcb1b	17082	19236	ENSMUST00000009058
Abcb1b	17082	19236	ENSMUST00000196048
Abcb1b	17083	19237	ENSMUST00000199994
Abcb1b	17083	19237	ENSMUST00000199546
Abcb1b	17083	19237	ENSMUST00000197961
Abcb1b	17083	19237	ENSMUST00000196819
Abcb1b	17083	19237	ENSMUST00000199955
Abcb1b	17083	19237	ENSMUST00000196580
Abcb1b	17083	19237	ENSMUST00000198650
Abcb1b	17083	19237	ENSMUST00000009058
Abcb1b	17083	19237	ENSMUST00000196048
Abcb7	18195	20509	ENSMUST00000140333
Abcb7	18195	20509	ENSMUST00000033695
Abcb8	9531	10755	ENSMUST00000136459
Abcb8	9531	10755	ENSMUST00000115074
Abcb8	9531	10755	ENSMUST00000136414
Abcb8	9531	10755	ENSMUST00000138168
Abcb8	9531	10755	ENSMUST00000127816
Abcb8	9531	10755	ENSMUST00000151535
Abcb8	9531	10755	ENSMUST00000198166
Abcb8	9531	10755	ENSMUST00000073076
Abcb8	9531	10755	ENSMUST00000115077
Abcb9	23283	26141	ENSMUST00000141510
Abcb9	23283	26141	ENSMUST00000126970
Abcb9	23283	26141	ENSMUST00000148392
Abcb9	23283	26141	ENSMUST00000153433
Abcb9	23283	26141	ENSMUST00000031354
Abcb9	23283	26141	ENSMUST00000126856
Abcb9	23282	26140	ENSMUST00000141510
Abcb9	23282	26140	ENSMUST00000126970
Abcb9	23282	26140	ENSMUST00000148392
Abcb9	23282	26140	ENSMUST00000153433
Abcb9	23282	26140	ENSMUST00000031354
Abcb9	23282	26140	ENSMUST00000126856
Abcb9	23281	26139	ENSMUST00000141510
Abcb9	23281	26139	ENSMUST00000126970
Abcb9	23281	26139	ENSMUST00000148392
Abcb9	23281	26139	ENSMUST00000153433
Abcb9	23281	26139	ENSMUST00000031354
Abcb9	23281	26139	ENSMUST00000126856
Abcc10	20312	22874	ENSMUST00000171584
Abcc10	20312	22874	ENSMUST00000170168
Abcc10	20312	22874	ENSMUST00000095261
Abcc10	20312	22874	ENSMUST00000168490
Abcc10	20312	22874	ENSMUST00000165733
Abcc10	20312	22874	ENSMUST00000047970
Abcc10	20312	22874	ENSMUST00000167360
Abcc10	20317	22878	ENSMUST00000171584
Abcc10	20317	22878	ENSMUST00000170168
Abcc10	20317	22878	ENSMUST00000095261
Abcc10	20317	22878	ENSMUST00000168490
Abcc10	20317	22878	ENSMUST00000165733
Abcc10	20317	22878	ENSMUST00000047970
Abcc10	20317	22878	ENSMUST00000167360
Abcc10	20318	22879	ENSMUST00000171584
Abcc10	20318	22879	ENSMUST00000170168
Abcc10	20318	22879	ENSMUST00000095261
Abcc10	20318	22879	ENSMUST00000168490
Abcc10	20318	22879	ENSMUST00000165733
Abcc10	20318	22879	ENSMUST00000047970
Abcc10	20318	22879	ENSMUST00000167360
Abcc10	20316	22877	ENSMUST00000171584
Abcc10	20316	22877	ENSMUST00000170168
Abcc10	20316	22877	ENSMUST00000095261
Abcc10	20316	22877	ENSMUST00000168490
Abcc10	20316	22877	ENSMUST00000165733
Abcc10	20316	22877	ENSMUST00000047970
Abcc10	20316	22877	ENSMUST00000167360
Abcc10	20314	22876	ENSMUST00000171584
Abcc10	20314	22876	ENSMUST00000170168
Abcc10	20314	22876	ENSMUST00000095261
Abcc10	20314	22876	ENSMUST00000168490
Abcc10	20314	22876	ENSMUST00000165733
Abcc10	20314	22876	ENSMUST00000047970
Abcc10	20314	22876	ENSMUST00000167360
Abcc10	20319	22880	ENSMUST00000171584
Abcc10	20319	22880	ENSMUST00000170168
Abcc10	20319	22880	ENSMUST00000095261
Abcc10	20319	22880	ENSMUST00000168490
Abcc10	20319	22880	ENSMUST00000165733
Abcc10	20319	22880	ENSMUST00000047970
Abcc10	20319	22880	ENSMUST00000167360
Abcc10	20313	22873	ENSMUST00000171584
Abcc10	20313	22873	ENSMUST00000170168
Abcc10	20313	22873	ENSMUST00000095261
Abcc10	20313	22873	ENSMUST00000168490
Abcc10	20313	22873	ENSMUST00000165733
Abcc10	20313	22873	ENSMUST00000047970
Abcc10	20313	22873	ENSMUST00000167360
Abcc10	20315	22875	ENSMUST00000171584
Abcc10	20315	22875	ENSMUST00000170168
Abcc10	20315	22875	ENSMUST00000095261
Abcc10	20315	22875	ENSMUST00000168490
Abcc10	20315	22875	ENSMUST00000165733
Abcc10	20315	22875	ENSMUST00000047970
Abcc10	20315	22875	ENSMUST00000167360
Abcc3	9620	10869	ENSMUST00000126566
Abcc3	9620	10869	ENSMUST00000178136
Abcc3	9620	10869	ENSMUST00000021231
Abcc3	9620	10869	ENSMUST00000155253
Abcc3	9620	10869	ENSMUST00000151124
Abcc3	9620	10869	ENSMUST00000140985
Abcc4	478	533	ENSMUST00000036554
Abcc4	478	533	ENSMUST00000166646
Abcc5	22247	24993	ENSMUST00000131453
Abcc5	22247	24993	ENSMUST00000127582
Abcc5	22247	24993	ENSMUST00000150340
Abcc5	22247	24993	ENSMUST00000134413
Abcc5	22247	24993	ENSMUST00000077867
Abcc5	22247	24993	ENSMUST00000148003
Abcc5	22247	24993	ENSMUST00000137985
Abcc5	22247	24993	ENSMUST00000115547
Abcc5	22247	24993	ENSMUST00000134962
Abcc5	22247	24993	ENSMUST00000096199
Abcc5	22247	24993	ENSMUST00000079158
Abcc5	22247	24993	ENSMUST00000128978
Abcc5	22245	24994	ENSMUST00000131453
Abcc5	22245	24994	ENSMUST00000127582
Abcc5	22245	24994	ENSMUST00000150340
Abcc5	22245	24994	ENSMUST00000134413
Abcc5	22245	24994	ENSMUST00000077867
Abcc5	22245	24994	ENSMUST00000148003
Abcc5	22245	24994	ENSMUST00000137985
Abcc5	22245	24994	ENSMUST00000115547
Abcc5	22245	24994	ENSMUST00000134962
Abcc5	22245	24994	ENSMUST00000096199
Abcc5	22245	24994	ENSMUST00000079158
Abcc5	22245	24994	ENSMUST00000128978
Abcc5	22244	24997	ENSMUST00000131453
Abcc5	22244	24997	ENSMUST00000127582
Abcc5	22244	24997	ENSMUST00000150340
Abcc5	22244	24997	ENSMUST00000134413
Abcc5	22244	24997	ENSMUST00000077867
Abcc5	22244	24997	ENSMUST00000148003
Abcc5	22244	24997	ENSMUST00000137985
Abcc5	22244	24997	ENSMUST00000115547
Abcc5	22244	24997	ENSMUST00000134962
Abcc5	22244	24997	ENSMUST00000096199
Abcc5	22244	24997	ENSMUST00000079158
Abcc5	22244	24997	ENSMUST00000128978
Abcc5	22246	24996	ENSMUST00000131453
Abcc5	22246	24996	ENSMUST00000127582
Abcc5	22246	24996	ENSMUST00000150340
Abcc5	22246	24996	ENSMUST00000134413
Abcc5	22246	24996	ENSMUST00000077867
Abcc5	22246	24996	ENSMUST00000148003
Abcc5	22246	24996	ENSMUST00000137985
Abcc5	22246	24996	ENSMUST00000115547
Abcc5	22246	24996	ENSMUST00000134962
Abcc5	22246	24996	ENSMUST00000096199
Abcc5	22246	24996	ENSMUST00000079158
Abcc5	22246	24996	ENSMUST00000128978
Abcc5	22243	24995	ENSMUST00000131453
Abcc5	22243	24995	ENSMUST00000127582
Abcc5	22243	24995	ENSMUST00000150340
Abcc5	22243	24995	ENSMUST00000134413
Abcc5	22243	24995	ENSMUST00000077867
Abcc5	22243	24995	ENSMUST00000148003
Abcc5	22243	24995	ENSMUST00000137985
Abcc5	22243	24995	ENSMUST00000115547
Abcc5	22243	24995	ENSMUST00000134962
Abcc5	22243	24995	ENSMUST00000096199
Abcc5	22243	24995	ENSMUST00000079158
Abcc5	22243	24995	ENSMUST00000128978
Abcc9	12369	13942	ENSMUST00000087527
Abcc9	12369	13942	ENSMUST00000100827
Abcc9	12369	13942	ENSMUST00000073173
Abcc9	12369	13942	ENSMUST00000111771
Abcc9	12368	13941	ENSMUST00000087527
Abcc9	12368	13941	ENSMUST00000100827
Abcc9	12368	13941	ENSMUST00000073173
Abcc9	12368	13941	ENSMUST00000111771
Abcc9	12370	13943	ENSMUST00000087527
Abcc9	12370	13943	ENSMUST00000100827
Abcc9	12370	13943	ENSMUST00000073173
Abcc9	12370	13943	ENSMUST00000111771
Abcc9	12371	13944	ENSMUST00000087527
Abcc9	12371	13944	ENSMUST00000100827
Abcc9	12371	13944	ENSMUST00000073173
Abcc9	12371	13944	ENSMUST00000111771
Abcd1	17477	19689	ENSMUST00000114461
Abcd1	17477	19689	ENSMUST00000002084
Abce1	8769	9896	ENSMUST00000080536
Abcf1	16444	18544	ENSMUST00000043757
Abcf1	16444	18544	ENSMUST00000172661
Abcf1	16444	18544	ENSMUST00000174834
Abcf1	16444	18544	ENSMUST00000173111
Abcf1	16444	18544	ENSMUST00000173090
Abcf1	16444	18544	ENSMUST00000173125
Abcf1	16444	18544	ENSMUST00000174128
Abcf1	16444	18544	ENSMUST00000087205
Abcf2	9514	10738	ENSMUST00000030795
Abcf3	22238	24988	ENSMUST00000148679
Abcf3	22238	24988	ENSMUST00000135861
Abcf3	22238	24988	ENSMUST00000152339
Abcf3	22238	24988	ENSMUST00000154660
Abcf3	22238	24988	ENSMUST00000003319
Abcg1	14263	16097	ENSMUST00000139013
Abcg1	14263	16097	ENSMUST00000024829
Abcg1	14264	16098	ENSMUST00000139013
Abcg1	14264	16098	ENSMUST00000024829
Abcg5	1892	2136	ENSMUST00000163375
Abcg5	1892	2136	ENSMUST00000066175
Abcg5	1892	2136	ENSMUST00000171544
Abcg5	1892	2136	ENSMUST00000172439
Abcg8	1893	2137	ENSMUST00000170725
Abcg8	1893	2137	ENSMUST00000045714
Abcg8	1893	2137	ENSMUST00000171915
Abhd1	3108	3477	ENSMUST00000201967
Abhd1	3108	3477	ENSMUST00000201214
Abhd1	3108	3477	ENSMUST00000202013
Abhd1	3108	3477	ENSMUST00000201125
Abhd1	3108	3477	ENSMUST00000201339
Abhd1	3108	3477	ENSMUST00000006814
Abhd1	3108	3477	ENSMUST00000202401
Abhd10	4280	4814	ENSMUST00000138517
Abhd10	4280	4814	ENSMUST00000143731
Abhd10	4280	4814	ENSMUST00000155741
Abhd10	4280	4814	ENSMUST00000066983
Abhd10	4280	4814	ENSMUST00000128348
Abhd12	7563	8534	ENSMUST00000056149
Abhd12	7563	8534	ENSMUST00000155119
Abhd12	7563	8534	ENSMUST00000129228
Abhd12	7563	8534	ENSMUST00000141899
Abhd12	7563	8534	ENSMUST00000138608
Abhd12	7563	8534	ENSMUST00000145826
Abhd12	7563	8534	ENSMUST00000156641
Abhd13	1244	1383	ENSMUST00000048216
Abhd13	1244	1383	ENSMUST00000139793
Abhd13	1245	1382	ENSMUST00000048216
Abhd13	1245	1382	ENSMUST00000139793
Abhd14a	8125	9180	ENSMUST00000187001
Abhd14a	8125	9180	ENSMUST00000171678
Abhd14a	8125	9180	ENSMUST00000048685
Abhd14a	8125	9180	ENSMUST00000187983
Abhd14a	8125	9180	ENSMUST00000171925
Abhd14a	8125	9180	ENSMUST00000185334
Abhd14a	8125	9180	ENSMUST00000190798
Abhd14a	8125	9180	ENSMUST00000187798
Abhd14a	8126	9179	ENSMUST00000187001
Abhd14a	8126	9179	ENSMUST00000171678
Abhd14a	8126	9179	ENSMUST00000048685
Abhd14a	8126	9179	ENSMUST00000187983
Abhd14a	8126	9179	ENSMUST00000171925
Abhd14a	8126	9179	ENSMUST00000185334
Abhd14a	8126	9179	ENSMUST00000190798
Abhd14a	8126	9179	ENSMUST00000187798
Abhd14b	8129	9182	ENSMUST00000190167
Abhd14b	8129	9182	ENSMUST00000185347
Abhd14b	8129	9182	ENSMUST00000048527
Abhd14b	8129	9182	ENSMUST00000186361
Abhd14b	8129	9182	ENSMUST00000187106
Abhd14b	8129	9182	ENSMUST00000185527
Abhd14b	8128	9183	ENSMUST00000190167
Abhd14b	8128	9183	ENSMUST00000185347
Abhd14b	8128	9183	ENSMUST00000048527
Abhd14b	8128	9183	ENSMUST00000186361
Abhd14b	8128	9183	ENSMUST00000187106
Abhd14b	8128	9183	ENSMUST00000185527
Abhd14b	8127	9181	ENSMUST00000190167
Abhd14b	8127	9181	ENSMUST00000185347
Abhd14b	8127	9181	ENSMUST00000048527
Abhd14b	8127	9181	ENSMUST00000186361
Abhd14b	8127	9181	ENSMUST00000187106
Abhd14b	8127	9181	ENSMUST00000185527
Abhd16b	12347	13918	ENSMUST00000069649
Abhd17a	11485	12960	ENSMUST00000187646
Abhd17a	11485	12960	ENSMUST00000003436
Abhd17a	11485	12960	ENSMUST00000191440
Abhd17a	11485	12960	ENSMUST00000189605
Abhd3	12116	13640	ENSMUST00000144150
Abhd3	12116	13640	ENSMUST00000117828
Abhd3	12116	13640	ENSMUST00000002549
Abhd3	12116	13640	ENSMUST00000117726
Abhd4	16776	18910	ENSMUST00000197807
Abhd4	16776	18910	ENSMUST00000197605
Abhd4	16776	18910	ENSMUST00000197802
Abhd4	16776	18910	ENSMUST00000196699
Abhd4	16776	18910	ENSMUST00000199068
Abhd4	16776	18910	ENSMUST00000199338
Abhd4	16776	18910	ENSMUST00000180359
Abhd4	16776	18910	ENSMUST00000041197
Abhd4	16777	18911	ENSMUST00000197807
Abhd4	16777	18911	ENSMUST00000197605
Abhd4	16777	18911	ENSMUST00000197802
Abhd4	16777	18911	ENSMUST00000196699
Abhd4	16777	18911	ENSMUST00000199068
Abhd4	16777	18911	ENSMUST00000199338
Abhd4	16777	18911	ENSMUST00000180359
Abhd4	16777	18911	ENSMUST00000041197
Abhd5	8655	9751	ENSMUST00000156520
Abhd5	8655	9751	ENSMUST00000111497
Abhd5	8655	9751	ENSMUST00000176005
Abhd5	8655	9751	ENSMUST00000175973
Abhd5	8655	9751	ENSMUST00000035128
Abhd5	8655	9751	ENSMUST00000154161
Abhd6	11667	13153	ENSMUST00000166497
Abhd6	11667	13153	ENSMUST00000026313
Abhd6	11669	13157	ENSMUST00000166497
Abhd6	11669	13157	ENSMUST00000026313
Abhd6	11670	13158	ENSMUST00000166497
Abhd6	11670	13158	ENSMUST00000026313
Abhd6	11665	13154	ENSMUST00000166497
Abhd6	11665	13154	ENSMUST00000026313
Abhd6	11668	13156	ENSMUST00000166497
Abhd6	11668	13156	ENSMUST00000026313
Abhd6	11666	13155	ENSMUST00000166497
Abhd6	11666	13155	ENSMUST00000026313
Abhd8	6331	7098	ENSMUST00000008094
Abi1	17594	19819	ENSMUST00000091394
Abi1	17594	19819	ENSMUST00000139038
Abi1	17594	19819	ENSMUST00000135308
Abi1	17594	19819	ENSMUST00000123948
Abi1	17594	19819	ENSMUST00000149719
Abi1	17594	19819	ENSMUST00000148294
Abi1	17594	19819	ENSMUST00000154162
Abi1	17594	19819	ENSMUST00000078977
Abi1	17594	19819	ENSMUST00000093171
