Only identified by site	Reverse	Contaminant	Histones	PEP	Intensity	Razor + unique peptides	Mol. weight [kDa]	Sequence length	Copy number Intensity	Concentration [nM] Intensity	Protein IDs	Majority protein IDs	Proteins
				0	26669000000	23	57862	529	944162.060311246	2.50850855825403	cds10348	cds10348	1
				3.4749E-24	133130000	9	96683	836	2820.71409576318	0.00749424886579022	cds1035;cds1036	cds1035;cds1036	2
				0	88678000000	33	69238	615	2623642.33385409	6.97065633637193	cds10354	cds10354	1
				1.2189E-10	172330000	3	110920	982	3182.6162924284	0.00845577315886165	cds10363	cds10363	1
				2.9371E-110	1466900000	9	60572	531	49609.1572593129	0.131804698349913	cds10375	cds10375	1
				0	23618000000	23	44784	398	1080322.67521616	2.87026855915209	cds10376	cds10376	1
				1.2696E-280	1969900000	18	94514	830	42695.4200970564	0.113435850913571	cds10377	cds10377	1
				0	5154100000	26	101660	928	103857.051710865	0.275933882543272	cds10378	cds10378	1
				6.1544E-71	420150000	8	26736	235	32191.4982432534	0.0855283772148189	cds1038	cds1038	1
				6.4649E-245	3708700000	15	40560	369	187308.295813929	0.497652344689986	cds10385	cds10385	1
				1.9385E-111	3823500000	14	100420	887	77996.3235287768	0.207225489467124	cds10387;cds10388;cds10389;cds10390	cds10387;cds10388;cds10389;cds10390	4
				0	7075400000	13	38822	348	373341.567514949	0.991917125916385	cds10392	cds10392	1
				1.5361E-21	355990000	4	23163	215	31483.0098988478	0.0836460212612457	cds10395	cds10395	1
				0	32479000000	13	21812	198	3050284.96997343	8.10418706060862	cds10396	cds10396	1
				4.0995E-82	1416400000	9	33505	302	86598.3366636895	0.230079853642729	cds10398;cds10397	cds10398;cds10397	2
				0	8216400000	16	57722	508	291590.558697446	0.774715954756209	cds10405	cds10405	1
				0	112490000000	23	48241	417	4776731.93165664	12.691118860565	cds10406	cds10406	1
				6.8115E-05	227810000	2	51959	473	8981.42514301218	0.0238624096260942	cds10410;cds10412;cds10411	cds10410;cds10412;cds10411	3
				7.0365E-107	584710000	8	72812	663	16450.1861045525	0.0437058788557318	cds10414;cds10415;cds10416;cds10417;cds10418	cds10414;cds10415;cds10416;cds10417;cds10418	5
				9.1238E-09	74235000	2	25223	220	6028.99921831077	0.0160182205710043	cds1042	cds1042	1
				2.1985E-99	1690000000	11	39572	369	87484.6701659106	0.232434719686653	cds10425	cds10425	1
				8.2377E-63	480180000	14	104090	943	9449.92394697581	0.025107146423596	cds10433	cds10433	1
				9.9435E-50	111270000	6	103850	965	2194.84998296763	0.00583141411607135	cds10436;cds10228;cds10227;cds23760;cds23761;cds23762	cds10436	6
				5.9065E-06	21283000	2	26493	236	1645.64047390441	0.00437224009111061	cds1044;cds1045;cds1046;cds1047	cds1044;cds1045;cds1046;cds1047	4
				5.69E-223	6920300000	14	44724	383	316969.545867167	0.842144428310929	cds10446	cds10446	1
				3.1058E-83	311320000	5	22522	202	28316.0924903718	0.0752319578748957	cds10447	cds10447	1
				0	49562000000	21	49107	427	2067467.42013752	5.492976190567	cds10450	cds10450	1
				2.7681E-32	785640000	15	109070	986	14755.4183892687	0.0392031144503918	cds10451	cds10451	1
				4.5412E-39	594610000	6	39934	368	30501.6019913742	0.0810385556168158	cds10453	cds10453	1
				9.4752E-55	2293800000	13	38023	340	123578.358864264	0.328330679506229	cds10454	cds10454	1
				9.1846E-157	12506000000	15	36081	310	710024.137960701	1.88643634552972	cds10455	cds10455	1
				2.0837E-210	178370000	2	16370	137	22320.6268688737	0.0593028314521627	cds10456	cds10456	1
				0.00012159	334810000	2	42288	376	16218.6435724898	0.0430907022375487	cds10483	cds10483	1
				0	2922100000	13	53958	482	110935.995529552	0.294741661312438	cds10484	cds10484	1
				1.3241E-14	194410000	5	35935	332	11082.4098102022	0.0294444365258716	cds10485	cds10485	1
				9.0729E-230	1618200000	19	133840	1210	24767.3489752965	0.0658034351108265	cds10493;cds10491;cds10492;cds10494	cds10493;cds10491;cds10492;cds10494	4
				9.1842E-06	17579000	2	104920	931	343.217274940678	0.000911881029455365	cds10497;cds10496;cds10495	cds10497;cds10496;cds10495	3
				1.4011E-114	1156700000	7	32287	298	73388.2102427236	0.194982367124698	cds10500;cds10499	cds10500;cds10499	2
				4.6887E-263	4510200000	4	34727	318	266049.096349258	0.70685580702942	cds10515	cds10515	1
				2.5577E-211	3024000000	9	35112	335	176424.734918313	0.468736222343434	cds10529	cds10529	1
				5.6899E-15	63088000	5	93070	805	1388.57806453568	0.00368926067368489	cds10530;cds10531	cds10530;cds10531	2
				0	26795000000	20	62688	562	875593.646645527	2.32633172682145	cds1055;cds1056;cds1057	cds1055;cds1056;cds1057	3
				9.5365E-188	997080000	35	329640	2851	6196.17042003761	0.0164623714301133	cds10552	cds10552	1
				0	19719000000	20	46354	417	871426.826045855	2.31526105836911	cds10555	cds10555	1
				1.5988E-73	2786700000	9	19817	174	288061.728814611	0.76534033977037	cds10557	cds10557	1
				3.4242E-07	98344000	2	32045	284	6286.67265362698	0.0167028234002181	cds10579;cds10581;cds10580	cds10579;cds10581;cds10580	3
				1.0671E-08	82779000	3	106480	916	1592.52180615391	0.00423111110673769	cds1058;cds1059	cds1058;cds1059	2
				3.4854E-152	4622200000	11	58675	522	161372.26306447	0.428743877749758	cds10588	cds10588	1
				4.3191E-07	116710000	3	194010	1748	1232.30215503614	0.00327405710545498	cds10593	cds10593	1
				0	6524500000	17	67967	619	196644.764895446	0.522458057161781	cds10621	cds10621	1
				1.8448E-61	1281700000	12	33919	313	77406.3517229997	0.205658015633837	cds10622	cds10622	1
				4.5217E-274	4512800000	22	64993	567	142237.056846743	0.377904270251338	cds10623;cds10624	cds10623;cds10624	2
				8.7532E-40	2419300000	3	8972.3	81	552356.149781153	1.46753421597295	cds10632	cds10632	1
				3.2366E-66	494350000	5	18543	164	54611.9639358831	0.145096466671265	cds10633	cds10633	1
				4.7671E-18	201390000	3	68790	606	5997.16291880814	0.0159336359079231	cds10639;cds10640	cds10639;cds10640	2
				0	16485000000	43	118570	1081	284804.853589457	0.756687270854669	cds10641	cds10641	1
				2.571E-40	55107000	3	119860	1065	941.815318905848	0.00250227358954801	cds10646;cds10647	cds10646;cds10647	2
				0	14574000000	14	27247	239	1095704.20417374	2.91113516315056	cds10648	cds10648	1
				4.2166E-188	6199600000	20	70753	640	179494.879996695	0.476893174976824	cds10655	cds10655	1
				5.6462E-17	242530000	5	28747	258	17282.4851493399	0.0459171827882237	cds10666;cds10665;cds10667;cds10668;cds10669	cds10666;cds10665;cds10667;cds10668;cds10669	5
				6.7385E-137	1448600000	13	35845	315	82785.2854722614	0.219949101784721	cds10671	cds10671	1
				2.21E-80	661060000	6	36899	324	36699.448449982	0.0975053800505754	cds10674	cds10674	1
				6.0884E-16	47293000	2	43136	390	2245.89913631664	0.00596704468570619	cds10675	cds10675	1
				2.0341E-28	257400000	5	114190	1066	4617.57251292025	0.012268254205428	cds10678;cds10679;cds10680;cds10681;cds10684;cds10682;cds10683;cds10685	cds10678;cds10679;cds10680;cds10681;cds10684;cds10682;cds10683;cds10685	8
				2.4804E-07	252260000	3	132860	1170	3889.44288004633	0.0103337140535175	cds10689	cds10689	1
				3.2274E-57	428220000	7	33230	308	26397.9292426932	0.0701356623074335	cds107;cds105;cds106	cds107;cds105;cds106	3
				2.6268E-19	169500000	3	78743	688	4409.51678727612	0.0117154787971469	cds10700;cds10701	cds10700;cds10701	2
				0	25596000000	11	24687	225	2123914.5448314	5.64294842662227	cds10726	cds10726	1
				1.6799E-192	8209300000	26	79767	727	210822.093973884	0.560125267931424	cds10727;cds21854	cds10727	2
				0	20436000000	27	66235	598	632035.697393327	1.67923180000535	cds1073	cds1073	1
				1.7513E-14	51765000	4	104680	931	1012.99140143332	0.00269137863800155	cds10735;cds10733;cds10734;cds10732;cds10738;cds10737;cds10731;cds10736	cds10735;cds10733;cds10734;cds10732;cds10738;cds10737;cds10731;cds10736	8
				5.3984E-123	247630000	5	9711.1	82	52235.7802213434	0.138783273804839	cds10741	cds10741	1
				8.6906E-19	377720000	7	50033	462	15464.8848787902	0.0410880692008213	cds10747	cds10747	1
				1.7273E-76	2309100000	15	59484	542	79519.9010364826	0.211273425068332	cds1075	cds1075	1
				1.7578E-40	83436000	3	71319	637	2396.5223574306	0.00636722983941974	cds10755;cds10756;cds10757;cds10758;cds10759;cds10760;cds10761;cds10754	cds10755;cds10756;cds10757;cds10758;cds10759;cds10760;cds10761;cds10754	8
				2.1574E-08	89578000	2	277760	2469	660.640071973236	0.00175522968368811	cds1077;cds1076;cds1078	cds1077;cds1076;cds1078	3
				4.4816E-28	271010000	5	120690	1101	4599.88827608581	0.0122212696237443	cds10769;cds10770;cds10768	cds10769;cds10770;cds10768	3
				4.1827E-36	568320000	4	22912	207	50811.6378071999	0.134999523552394	cds10774;cds4860	cds10774;cds4860	2
				0	8713500000	16	56924	508	313567.093250593	0.833104580316064	cds10777	cds10777	1
				0	58923000000	17	36466	334	3310015.11761135	8.79425429119776	cds10778	cds10778	1
				3.6651E-84	309150000	10	134640	1190	4703.57856390675	0.0124967604375998	cds10790;cds10789;cds10788;cds10786;cds10787;cds10785	cds10790;cds10789;cds10788;cds10786;cds10787;cds10785	6
				4.7895E-76	320930000	3	42607	382	15429.8823446628	0.0409950722884161	cds1080;cds1079;cds1081	cds1080;cds1079	3
				1.8654E-24	3530000	2	20936	188	345.39357162751	0.000917663150018882	cds10793;cds10794	cds10793;cds10794	2
				0	119330000000	34	58129	539	4205232.80225465	11.1727243842322	cds10796	cds10796	1
				0	52098000000	74	174880	1556	610258.955510072	1.62137399605269	cds108	cds108	1
				2.3707E-59	798030000	8	33283	292	49116.7935620021	0.130496555817613	cds10801	cds10801	1
				0	20152000000	7	38179	341	1081251.84138086	2.87273722568102	cds10808;cds16004;cds5550;cds10814;cds10825;cds10828;cds10831;cds12503;cds800;cds7596;cds7880	cds10808;cds16004;cds5550;cds10814;cds10825;cds10828;cds10831	11
				0	605680000000	34	24587	220	50462753.7815212	134.072586746689	cds16008;cds10809;cds10813;cds10829;cds26135;cds26148;cds5551;cds10805;cds10830	cds16008;cds10809;cds10813;cds10829;cds26135;cds26148;cds5551;cds10805;cds10830	9
				1.6851E-71	2556300000	2	20511	207	255304.364929339	0.678308535479317	cds10810	cds10810	1
				9.7452E-166	96352000000	16	21284	212	9273437.26194823	24.6382456083444	cds10824;cds10818;cds10832	cds10824;cds10818	3
				2.498E-303	2368100000	28	165750	1498	29267.1043019447	0.0777586652788607	cds10842	cds10842	1
				9.4543E-14	343940000	4	15179	140	46416.5417701033	0.123322358702357	cds10857	cds10857	1
				3.2637E-15	71210000	4	128520	1214	1135.02002415033	0.00301559188200404	cds1088;cds1089;cds1090	cds1088;cds1089;cds1090	3
				2.3588E-30	11913000000	3	24643	220	990286.410430075	2.63105460398144	cds10881;cds10882	cds10881;cds10882	2
				2.8212E-06	7380800	2	53549	456	282.348397260643	0.000750160804707771	cds10888;cds10889	cds10888;cds10889	2
				6.0135E-91	487100000	9	43308	385	23040.0414487835	0.0612142169086399	cds10900	cds10900	1
				7.218E-06	480870000	2	19775	176	49813.2004960118	0.132346813127692	cds10905	cds10905	1
				4.1662E-50	607360000	5	30588	253	40675.074726104	0.108068071517742	cds10906	cds10906	1
				4.5832E-71	1106200000	9	35022	317	64703.2305554404	0.171907572246125	cds10908;cds10909;cds10907	cds10908;cds10909;cds10907	3
				0	5682400000	20	58841	501	197826.747754554	0.525598422828248	cds10910	cds10910	1
				3.7062E-09	71673000	3	104590	919	1403.77878456208	0.00372964689325535	cds10911;cds10913;cds10912	cds10911;cds10913;cds10912	3
				5.4975E-50	1727400000	8	31141	278	113630.159246046	0.301899683249832	cds10919	cds10919	1
				3.1425E-10	57917000	3	24613	217	4820.30768925899	0.0128068936469845	cds10920;cds10921;cds10922	cds10920;cds10921;cds10922	3
				3.5135E-56	447870000	7	83411	730	10999.2202732545	0.0292234133835927	cds10924	cds10924	1
				0	5232300000	15	60902	544	175992.57127775	0.467588023070779	cds10931;cds10930;cds10932	cds10931;cds10930;cds10932	3
				6.3815E-58	1659200000	10	83427	724	40740.4073267522	0.108241651239644	cds10933	cds10933	1
				8.9496E-137	7709500000	13	51451	453	306948.593176271	0.81552013716044	cds10948	cds10948	1
				7.4285E-57	1287700000	9	30071	275	87720.2942134194	0.233060740329245	cds10949	cds10949	1
				5.7387E-17	1245400000	5	14431	129	176785.112517262	0.46969369599035	cds10976	cds10976	1
				2.6331E-41	2147800000	11	25206	217	174551.329362561	0.463758841799106	cds1099	cds1099	1
				0	17148000000	20	31673	282	1109066.35000239	2.94663654429772	cds11003;cds11004;cds11005	cds11003;cds11004;cds11005	3
				2.384E-56	422800000	5	22548	200	38411.4062493932	0.102053816141915	cds11014;cds11015	cds11014;cds11015	2
				2.4517E-194	3376400000	11	44668	392	154842.665480685	0.411395636267273	cds11022	cds11022	1
				1.5271E-97	2753900000	10	74873	644	75345.3033772243	0.200182094039775	cds11024	cds11024	1
				1.9935E-05	25400000	2	15499	133	3357.09238512649	0.00891933210720532	cds11028	cds11028	1
				2.5279E-68	971560000	14	85813	744	23192.6191127234	0.0616195947477638	cds11038;cds11039;cds11037	cds11038;cds11039;cds11037	3
				3.4452E-49	177430000	4	26076	233	13938.605762984	0.0370329557989737	cds11040;cds11041;cds11042;cds11043;cds11044;cds11045	cds11040;cds11041;cds11042;cds11043;cds11044;cds11045	6
				1.5995E-114	1008600000	8	33944	296	60868.0235035314	0.161717955318266	cds1107;REV__cds30562	cds1107	2
				3.0085E-58	411560000	8	67732	596	12447.2242364704	0.0330705604855589	cds11074;cds11073;REV__cds15719;REV__cds15721;REV__cds15722;REV__cds15720	cds11074;cds11073	6
				2.8688E-11	527930000	4	26297	230	41124.7612820935	0.109262826763319	cds11089	cds11089	1
				0	2514000000	16	76365	672	67437.9207819098	0.179173267538955	cds1109	cds1109	1
				4.4733E-36	345410000	4	19443	176	36391.9129615918	0.0966883006136626	cds11096	cds11096	1
				7.3891E-15	1924900000	5	7930.2	69	497229.957763785	1.32107151611193	cds11103	cds11103	1
				5.882E-68	909310000	11	143900	1307	12944.4746054712	0.0343916862315164	cds11109;cds11108;cds11107;cds11110;cds11111;cds11112	cds11109;cds11108;cds11107;cds11110;cds11111;cds11112	6
				3.4446E-06	12023000	2	16944	155	1453.55061403539	0.00386188378927362	cds11127;cds11128	cds11127;cds11128	2
				5.3557E-25	60785000	6	18208	160	6838.60360528346	0.0181692279233348	cds11134	cds11134	1
				1.5897E-101	647710000	6	39826	357	33315.5638085025	0.08851486460824	cds11136	cds11136	1
				2.6868E-103	1150800000	10	56006	508	42091.9021109791	0.111832386744893	cds11141;cds11142	cds11141;cds11142	2
				1.5255E-106	3092400000	10	61185	514	103534.229254293	0.275076187737318	cds11143;cds11144;cds11145;cds11146	cds11143;cds11144;cds11145;cds11146	4
				1.8622E-129	1018000000	9	40349	380	51683.0644993132	0.137314784254923	cds11148;cds11149;cds11150	cds11148;cds11149;cds11150	3
				1.0956E-34	983580000	10	97656	876	20632.1274684889	0.0548167210961971	cds11158;cds11159;cds11160;cds11161	cds11158;cds11159;cds11160;cds11161	4
				6.9524E-12	139370000	3	38084	352	7496.5250774066	0.019917234661644	cds11169;cds11168	cds11169;cds11168	2
				2.2753E-199	7015100000	13	18896	161	760496.536616865	2.02053455737998	cds1117	cds1117	1
				6.7181E-66	558740000	4	42379	373	27007.9930641041	0.0717565178590597	cds11170	cds11170	1
				0	1916500000	20	175010	1604	22432.5793873455	0.0596002738749307	cds11173	cds11173	1
				2.0649E-143	1946700000	8	53871	496	74024.8005794557	0.196673699974132	cds11174;cds11175	cds11174;cds11175	2
				4.188E-12	96689000	5	56307	493	3517.61199974545	0.00934581061546753	cds1119	cds1119	1
				5.2502E-15	679160000	6	43578	381	31925.5258771353	0.0848217252694457	cds11199	cds11199	1
				3.3603E-83	172280000	7	85358	774	4134.50847953518	0.0109848195993693	cds11201;cds11202	cds11201;cds11202	2
				1.016E-37	340770000	5	24389	206	28622.0420314389	0.0760448236681978	cds11225	cds11225	1
				4.4697E-100	2913600000	11	34469	307	173154.785621414	0.46004841741975	cds11227	cds11227	1
				3.3983E-32	933450000	6	53699	495	35608.8637913652	0.0946078468148735	cds11235	cds11235	1
				3.4007E-291	6970000000	13	29819	265	478820.744598996	1.2721607721668	cds11238;cds11239	cds11238;cds11239	2
				8.8237E-26	2005200000	2	31086	276	132137.506697842	0.35107115647987	cds11242;cds11243;cds11244;cds11245;cds11246;cds11247	cds11242;cds11243;cds11244;cds11245;cds11246;cds11247	6
				3.6515E-146	3045600000	17	69363	625	89945.25346322	0.238972150620452	cds11249;cds11248	cds11249;cds11248	2
				5.4532E-110	9388500000	7	25354	221	758547.845551747	2.01535715360607	cds11250	cds11250	1
				4.7293E-34	2603300000	5	23107	208	230788.364022169	0.613172897568251	cds11257	cds11257	1
				6.3325E-45	33185000	3	52542	476	1293.80396117733	0.00343745893395292	cds11259	cds11259	1
				1.0652E-99	998260000	10	71872	634	28452.2878472432	0.0755938101804136	cds11265;cds11266	cds11265;cds11266	2
				0	164270000000	59	110370	971	3048880.9669755	8.10045681801134	cds11267	cds11267	1
				9.3795E-100	1658900000	17	54231	489	62662.2303827883	0.16648491588689	cds11268;cds11270;cds11269	cds11268;cds11270;cds11269	3
				1.2243E-186	2985500000	22	54187	493	112863.944031894	0.299863954953855	cds1127	cds1127	1
				2.8179E-124	4129600000	21	86387	764	97924.8352257228	0.260172800364763	cds11271	cds11271	1
				1.4515E-73	137600000	8	220760	1925	1276.82478122919	0.00339234759131118	cds11272;cds11273	cds11272;cds11273	2
				3.8806E-88	8138000000	8	24807	229	672011.481947152	1.78544195384603	cds11282;cds31250;cds31197;cds31198	cds11282	4
				3.1155E-264	1164700000	10	40937	359	58281.5800304345	0.154846131231662	cds11284	cds11284	1
				1.4164E-35	1083000000	10	123510	1102	17962.2025542491	0.0477230983180711	cds11287;cds11288	cds11287;cds11288	2
				0	1720500000	9	55367	516	63655.6473603753	0.169124287976645	cds11294	cds11294	1
				1.5636E-66	346910000	4	145460	1326	4885.47156958653	0.0129800251022315	cds11296	cds11296	1
				2.158E-87	3228100000	19	96755	847	68345.0109032951	0.181583281061266	cds11297	cds11297	1
				0	13108000000	82	525630	4800	51084.5465747593	0.135724604561071	cds11299;REV__cds11299	cds11299	2
				1.1494E-29	18273000	2	64127	589	583.716790174124	0.00155085511831058	cds11303	cds11303	1
				1.3968E-38	396800000	5	11240	99	72316.7011489602	0.192135515037603	cds11304	cds11304	1
				1.3393E-247	6033800000	13	46105	415	268087.237103682	0.71227086630824	cds11305	cds11305	1
				3.0725E-11	40031000	2	23601	210	3474.55578571208	0.009231416184756	cds11308;cds11311;cds11315	cds11308;cds11311;cds11315	3
				2.4237E-134	903250000	7	75408	673	24537.1321782304	0.0651917807879409	cds11326	cds11326	1
				2.362E-31	202040000	5	42890	377	9649.71680729161	0.025637968536714	cds11338	cds11338	1
				0	4883400000	33	100100	906	99935.8880311461	0.265515890693813	cds11341;cds15142;REV__cds11397;REV__cds11396	cds11341	4
				0	28526000000	24	45477	404	1284938.44941213	3.41390449020736	cds11344	cds11344	1
				8.3256E-162	2148600000	10	38592	354	114049.015279659	0.303012526043631	cds1135	cds1135	1
				4.4549E-12	204210000	4	31278	281	13374.3068958529	0.0355336914278288	cds114	cds114	1
